country;year;uneducated;primary;secondary;tertiary;years of education total;years education primary;years education secondary;years education tertiary;population in thousands;region
Australia;1870;50,9;49;0,1;0;1,72;1,72;0;0;932;Advanced Economies
;1875;46,3;53,6;0,1;0;1,86;1,86;0;0;1075;Advanced Economies
;1880;41,8;58;0,2;0,1;2,06;2,05;0,01;0;1314;Advanced Economies
;1885;36,2;61,7;2;0,1;2,39;2,31;0,07;0;1571;Advanced Economies
;1890;29,8;66,7;3,4;0,1;2,74;2,61;0,12;0;1895;Advanced Economies
;1895;24,8;71,4;3,6;0,2;2,97;2,83;0,13;0,01;2105;Advanced Economies
;1900;24,9;69,9;4,8;0,3;3,09;2,9;0,18;0,01;2434;Advanced Economies
;1905;22,3;70,7;6,6;0,4;3,36;3,09;0,26;0,01;2513;Advanced Economies
;1910;17,7;71,4;9,4;1,6;3,87;3,41;0,41;0,04;2835;Advanced Economies
;1915;14,3;71,3;11,8;2,6;4,29;3,67;0,55;0,07;3171;Advanced Economies
;1920;11,3;70,9;14,2;3,6;4,71;3,91;0,7;0,1;3456;Advanced Economies
;1925;9,3;62,9;23,1;4,8;5,46;4,24;1,08;0,14;3870;Advanced Economies
;1930;7,1;58,8;28,2;5,9;6,01;4,51;1,34;0,17;4380;Advanced Economies
;1935;5,1;54,6;33,4;7;6,56;4,76;1,59;0,2;4380;Advanced Economies
;1940;3,7;50,9;37,3;8,1;7,02;4,97;1,81;0,24;4677;Advanced Economies
;1945;2,3;47;41,4;9,2;7,48;5,16;2,05;0,27;5022;Advanced Economies
;1950;1,2;42,5;45,1;11,2;8,21;5,47;2,39;0,35;5372;Advanced Economies
;1955;1;37,9;48,9;12,2;8,49;5,48;2,63;0,38;5763;Advanced Economies
;1960;0,8;33,4;52,5;13,2;8,78;5,51;2,87;0,41;6314;Advanced Economies
;1965;0,7;28,1;56,3;14,9;9,19;5,58;3,16;0,46;7129;Advanced Economies
;1970;0,6;19,4;59,6;20,3;10,11;5,69;3,77;0,65;7995;Advanced Economies
;1975;1;10,4;66,7;21,9;10,8;5,79;4,34;0,68;8683;Advanced Economies
;1980;0,7;5,2;69,3;24,8;11,4;5,88;4,77;0,76;9533;Advanced Economies
;1985;1;7,3;66,2;25,5;11,43;5,84;4,8;0,8;10385;Advanced Economies
;1990;0,9;9;63,4;26,8;11,44;5,84;4,76;0,85;11296;Advanced Economies
;1995;1,1;10;58,7;30,2;11,51;5,82;4,74;0,94;11941;Advanced Economies
;2000;0,8;10,4;65,4;23,4;11,37;5,85;4,76;0,76;12711;Advanced Economies
;2005;0,6;9,2;61,8;28,3;11,71;5,88;4,9;0,93;13641;Advanced Economies
;2010;0,5;7,6;61,7;30,3;11,69;6;4,68;1,01;14420;Advanced Economies
