Entity,Code,Year,Literate world population (people),Illiterate world population (people)
World,OWID_WRL,1800,119240334.7,870577970.6
World,OWID_WRL,1820,130388702.8,951972607.2
World,OWID_WRL,1870,262232571.4,1137046044
World,OWID_WRL,1880,289427247.9,1185101639
World,OWID_WRL,1890,319483739.4,1237731043
World,OWID_WRL,1900,353170253.9,1296829746
World,OWID_WRL,1910,462798033.6,1287201966
World,OWID_WRL,1920,588190835.9,1271809164
World,OWID_WRL,1930,673321929.8,1396678070
World,OWID_WRL,1940,963222160.3,1336777840
World,OWID_WRL,1950,908027943.4,1617121369
World,OWID_WRL,1960,1256246063,1762097765
World,OWID_WRL,1970,2048295955,1634191736
World,OWID_WRL,1980,2488527759,1951104706
World,OWID_WRL,1990,3623893254,1685774445
World,OWID_WRL,1999,4952842413,1096362790
World,OWID_WRL,2004,5272680218,1167162190
World,OWID_WRL,2014,6197479274,1068306672
